iter	Passed	Remaining
0	165	165095
1	165	82778
2	166	55382
3	167	41638
4	168	33550
5	171	28425
6	174	24753
7	175	21760
8	176	19399
9	177	17527
10	177	15982
11	178	14684
12	178	13583
13	179	12635
14	179	11813
15	180	11089
16	180	10452
17	181	9886
18	181	9380
19	182	8924
20	182	8514
21	183	8138
22	183	7796
23	183	7482
24	184	7191
25	184	6922
26	185	6675
27	185	6444
28	186	6234
29	186	6034
30	187	5848
31	187	5672
32	187	5505
33	188	5350
34	188	5203
35	189	5063
36	189	4933
37	189	4808
38	190	4689
39	190	4577
40	191	4469
41	191	4368
42	191	4271
43	192	4178
44	192	4089
45	193	4004
46	193	3922
47	193	3843
48	194	3768
49	194	3697
50	194	3627
51	195	3561
52	195	3497
53	196	3436
54	196	3377
55	196	3319
56	197	3265
57	197	3211
58	198	3160
59	198	3110
60	198	3061
61	199	3014
62	199	2969
63	200	2925
64	200	2882
65	200	2841
66	201	2800
67	201	2759
68	201	2720
69	202	2684
70	202	2648
71	202	2613
72	203	2579
73	203	2546
74	203	2514
75	204	2483
76	204	2453
77	205	2423
78	205	2394
79	205	2366
80	206	2339
81	206	2312
82	206	2286
83	207	2260
84	207	2234
85	207	2209
86	208	2184
87	208	2160
88	208	2138
89	209	2115
90	209	2093
91	210	2072
92	210	2051
93	210	2031
94	211	2011
95	211	1991
96	211	1972
97	212	1953
98	212	1935
99	213	1917
100	213	1899
101	213	1880
102	213	1862
103	214	1845
104	214	1829
105	215	1813
106	215	1797
107	215	1781
108	216	1766
109	216	1751
110	216	1736
111	217	1722
112	217	1708
113	218	1694
114	218	1680
115	218	1666
116	219	1653
117	219	1640
118	219	1627
119	220	1614
120	220	1602
121	220	1589
122	221	1576
123	221	1564
124	221	1552
125	222	1540
126	222	1529
127	222	1517
128	223	1506
129	223	1495
130	223	1485
131	224	1474
132	224	1464
133	225	1454
134	225	1444
135	225	1434
136	226	1424
137	226	1414
138	226	1405
139	227	1395
140	227	1386
141	228	1377
142	228	1368
143	228	1359
144	229	1351
145	229	1342
146	229	1333
147	230	1325
148	230	1317
149	230	1308
150	231	1300
151	231	1292
152	232	1284
153	232	1277
154	232	1269
155	233	1261
156	233	1254
157	233	1246
158	234	1239
159	234	1231
160	235	1224
161	235	1217
162	235	1210
163	236	1203
164	236	1196
165	236	1190
166	237	1183
167	237	1176
168	237	1170
169	238	1163
170	238	1157
171	239	1151
172	239	1145
173	239	1139
174	240	1132
175	240	1126
176	241	1120
177	241	1114
178	241	1109
179	242	1103
180	242	1096
181	242	1090
182	243	1085
183	243	1079
184	243	1074
185	244	1068
186	244	1063
187	244	1057
188	245	1052
189	245	1047
190	246	1042
191	246	1037
192	246	1032
193	247	1027
194	247	1022
195	248	1017
196	248	1012
197	248	1007
198	249	1002
199	249	998
200	249	993
201	250	988
202	250	984
203	251	979
204	251	975
205	251	970
206	252	966
207	252	961
208	252	957
209	253	953
210	253	948
211	254	944
212	254	940
213	254	936
214	255	932
215	255	927
216	256	923
217	256	919
218	256	915
219	257	911
220	257	907
221	257	903
222	258	899
223	258	896
224	259	892
225	259	888
226	259	884
227	260	880
228	260	876
229	260	873
230	261	869
231	261	865
232	262	862
233	262	859
234	262	856
235	263	852
236	263	849
237	264	845
238	264	842
239	265	839
240	265	835
241	265	832
242	266	829
243	266	825
244	266	822
245	267	819
246	267	815
247	268	812
248	268	809
249	268	806
250	269	803
251	269	799
252	269	796
253	270	793
254	270	790
255	271	787
256	271	784
257	271	781
258	272	778
259	272	775
260	272	772
261	273	769
262	273	766
263	274	764
264	274	761
265	274	758
266	275	755
267	275	752
268	276	750
269	276	747
270	276	744
271	277	741
272	277	739
273	277	736
274	278	733
275	278	730
276	278	728
277	279	725
278	279	722
279	280	720
280	280	717
281	280	715
282	281	712
283	281	710
284	282	707
285	282	705
286	282	702
287	283	700
288	283	697
289	283	695
290	284	692
291	284	690
292	285	688
293	285	685
294	285	683
295	286	680
296	286	678
297	286	676
298	287	673
299	287	671
300	288	668
301	288	666
302	288	664
303	289	662
304	289	659
305	289	657
306	290	655
307	290	653
308	291	650
309	291	648
310	291	646
311	292	644
312	292	642
313	292	640
314	293	638
315	293	635
316	294	633
317	294	631
318	294	629
319	295	627
320	295	625
321	296	623
322	296	621
323	296	619
324	297	617
325	297	615
326	297	613
327	298	611
328	298	609
329	298	607
330	299	605
331	299	603
332	300	601
333	300	599
334	300	597
335	301	595
336	301	593
337	302	591
338	302	589
339	302	587
340	303	586
341	303	584
342	303	582
343	304	580
344	304	578
345	305	577
346	305	575
347	306	573
348	306	571
349	306	570
350	307	568
351	307	566
352	308	564
353	308	562
354	308	561
355	309	559
356	309	557
357	309	555
358	310	554
359	310	552
360	311	550
361	311	548
362	311	547
363	312	545
364	312	543
365	313	542
366	313	540
367	313	538
368	314	537
369	314	535
370	314	533
371	315	532
372	315	530
373	316	529
374	316	527
375	316	525
376	317	524
377	317	522
378	317	520
379	318	519
380	318	517
381	319	516
382	319	514
383	319	512
384	320	511
385	320	509
386	320	508
387	321	506
388	321	505
389	321	503
390	322	502
391	322	500
392	323	498
393	323	497
394	323	495
395	324	494
396	324	492
397	324	491
398	325	489
399	325	488
400	325	486
401	326	485
402	326	483
403	327	482
404	327	481
405	327	479
406	328	478
407	328	476
408	328	475
409	329	473
410	329	472
411	330	470
412	330	469
413	330	468
414	331	466
415	331	465
416	331	464
417	332	462
418	332	461
419	332	459
420	333	458
421	333	457
422	334	455
423	334	454
424	334	453
425	335	451
426	335	450
427	336	449
428	336	447
429	336	446
430	337	445
431	337	443
432	337	442
433	338	441
434	338	439
435	339	438
436	339	437
437	339	436
438	340	434
439	340	433
440	340	432
441	341	430
442	341	429
443	342	428
444	342	427
445	342	425
446	343	424
447	343	423
448	343	422
449	344	420
450	344	419
451	345	418
452	345	417
453	345	415
454	346	414
455	346	413
456	346	412
457	347	410
458	347	409
459	348	408
460	348	407
461	348	406
462	349	404
463	349	403
464	349	402
465	350	401
466	350	400
467	351	399
468	351	397
469	351	396
470	352	395
471	352	394
472	352	393
473	353	392
474	353	390
475	353	389
476	354	388
477	354	387
478	355	386
479	355	385
480	355	383
481	356	382
482	356	381
483	356	380
484	357	379
485	357	378
486	358	377
487	358	376
488	358	374
489	359	373
490	359	372
491	360	371
492	360	370
493	360	369
494	361	368
495	361	367
496	361	366
497	362	365
498	362	364
499	363	363
500	363	362
501	363	360
502	364	359
503	364	358
504	365	357
505	365	356
506	365	355
507	366	354
508	366	353
509	366	352
510	367	351
511	367	350
512	367	349
513	368	348
514	368	347
515	369	346
516	369	345
517	369	344
518	370	343
519	370	342
520	370	341
521	371	340
522	371	339
523	372	338
524	372	337
525	372	336
526	373	334
527	373	333
528	373	332
529	374	331
530	374	330
531	375	329
532	375	328
533	375	328
534	376	326
535	376	326
536	376	325
537	377	324
538	377	323
539	378	322
540	378	321
541	378	320
542	379	319
543	379	318
544	379	317
545	380	316
546	380	315
547	381	314
548	381	313
549	381	312
550	382	311
551	382	310
552	382	309
553	383	308
554	383	307
555	384	306
556	384	305
557	384	304
558	385	303
559	385	302
560	385	302
561	386	301
562	386	300
563	387	299
564	387	298
565	387	297
566	388	296
567	388	295
568	389	294
569	389	293
570	389	292
571	390	291
572	390	291
573	390	290
574	391	289
575	391	288
576	392	287
577	392	286
578	392	285
579	393	284
580	393	283
581	393	282
582	394	282
583	394	281
584	395	280
585	395	279
586	395	278
587	396	277
588	396	276
589	396	275
590	397	274
591	397	274
592	398	273
593	398	272
594	398	271
595	399	270
596	399	269
597	399	268
598	400	267
599	400	267
600	401	266
601	401	265
602	401	264
603	402	263
604	402	262
605	402	261
606	403	261
607	403	260
608	404	259
609	404	258
610	404	257
611	405	256
612	405	255
613	405	255
614	406	254
615	406	253
616	406	252
617	407	251
618	407	250
619	408	250
620	408	249
621	408	248
622	409	247
623	409	246
624	409	245
625	410	245
626	410	244
627	411	243
628	411	242
629	411	241
630	412	241
631	412	240
632	412	239
633	413	238
634	413	237
635	414	236
636	414	236
637	414	235
638	415	234
639	415	233
640	415	232
641	416	232
642	416	231
643	416	230
644	417	229
645	417	228
646	418	228
647	418	227
648	418	226
649	419	225
650	419	224
651	419	224
652	420	223
653	420	222
654	421	221
655	421	220
656	421	220
657	422	219
658	422	218
659	422	217
660	423	217
661	423	216
662	424	215
663	424	214
664	424	213
665	425	213
666	425	212
667	425	211
668	426	210
669	426	210
670	427	209
671	427	208
672	427	207
673	428	207
674	428	206
675	428	205
676	429	204
677	429	204
678	430	203
679	430	202
680	430	201
681	431	201
682	431	200
683	431	199
684	432	198
685	432	198
686	433	197
687	433	196
688	433	195
689	434	195
690	434	194
691	434	193
692	435	192
693	435	192
694	436	191
695	436	190
696	436	189
697	437	189
698	437	188
699	437	187
700	438	186
701	438	186
702	439	185
703	439	184
704	439	184
705	440	183
706	440	182
707	440	181
708	441	181
709	441	180
710	441	179
711	442	178
712	442	178
713	443	177
714	443	176
715	443	176
716	444	175
717	444	174
718	444	173
719	445	173
720	445	172
721	446	171
722	446	171
723	446	170
724	447	169
725	447	168
726	448	168
727	448	167
728	448	166
729	449	166
730	449	165
731	450	164
732	450	164
733	451	163
734	451	162
735	451	162
736	452	161
737	452	160
738	452	159
739	453	159
740	453	158
741	454	157
742	454	157
743	454	156
744	455	155
745	455	155
746	456	154
747	456	153
748	456	153
749	457	152
750	457	151
751	457	150
752	458	150
753	458	149
754	458	148
755	459	148
756	459	147
757	460	146
758	460	146
759	460	145
760	461	144
761	461	144
762	461	143
763	462	142
764	462	142
765	463	141
766	463	140
767	463	140
768	464	139
769	464	138
770	464	138
771	465	137
772	465	136
773	466	136
774	466	135
775	466	134
776	467	134
777	467	133
778	467	132
779	468	132
780	468	131
781	469	130
782	469	130
783	469	129
784	470	128
785	470	128
786	470	127
787	471	126
788	471	126
789	472	125
790	472	124
791	472	124
792	473	123
793	473	122
794	473	122
795	474	121
796	474	120
797	475	120
798	475	119
799	475	118
800	476	118
801	476	117
802	477	117
803	477	116
804	477	115
805	478	115
806	478	114
807	478	113
808	479	113
809	479	112
810	480	111
811	480	111
812	480	110
813	481	109
814	481	109
815	481	108
816	482	108
817	482	107
818	482	106
819	483	106
820	483	105
821	484	104
822	484	104
823	484	103
824	485	102
825	485	102
826	486	101
827	486	101
828	486	100
829	487	99
830	487	99
831	488	98
832	488	97
833	488	97
834	489	96
835	489	96
836	489	95
837	490	94
838	490	94
839	491	93
840	491	92
841	491	92
842	492	91
843	492	91
844	492	90
845	493	89
846	493	89
847	494	88
848	494	87
849	494	87
850	495	86
851	495	86
852	495	85
853	496	84
854	496	84
855	497	83
856	497	83
857	497	82
858	498	81
859	498	81
860	498	80
861	499	79
862	499	79
863	500	78
864	500	78
865	500	77
866	501	76
867	501	76
868	502	75
869	502	75
870	502	74
871	503	73
872	503	73
873	503	72
874	504	72
875	504	71
876	505	70
877	505	70
878	505	69
879	506	69
880	506	68
881	506	67
882	507	67
883	507	66
884	508	66
885	508	65
886	509	64
887	509	64
888	510	63
889	510	63
890	511	62
891	511	61
892	511	61
